 ,X,Y
954,542,753
955,29,742
956,485,712
957,92,694
958,600,665
959,572,648
960,133,635
961,119,630
962,676,624
963,610,619
964,721,587
965,722,529
966,609,519
967,647,424
968,742,291
969,784,280
970,780,259
971,178,259
972,685,170
973,440,124
974,771,49
975,632,45
976,152,23
977,486,5
978,94,790
979,793,769
980,576,755
981,455,716
982,617,703
983,657,685
984,709,679
985,700,637
986,89,604
987,521,578
988,537,575
989,589,563
990,771,541
991,474,477
992,668,463
993,761,344
994,649,77
995,465,54
996,633,11
997,308,793
998,648,700
999,547,696
1000,457,696
1001,745,667
1002,633,585
1003,721,401
1004,659,388
1005,760,249
1006,783,246
1007,795,245
1008,656,211
1009,457,187
1010,399,95
1011,0,79
1012,607,76
1013,355,63
1014,24,787
1015,782,756
1016,349,725
1017,744,716
1018,588,712
1019,688,706
1020,745,678
1021,780,617
1022,778,588
1023,706,508
1024,778,466
1025,689,211
1026,749,187
1027,781,137
1028,793,115
1029,738,69
1030,589,55
1031,468,17
1032,368,789
1033,703,758
1034,664,746
1035,312,737
1036,789,631
1037,744,590
1038,760,484
1039,723,467
1040,740,394
1041,231,328
1042,785,221
1043,481,205
1044,642,158
1045,777,106
1046,793,93
1047,684,68
1048,670,770
1049,730,764
1050,369,757
1051,773,717
1052,759,613
1053,698,550
1054,608,536
1055,728,476
1056,694,401
1057,789,316
1058,779,286
1059,714,193
1060,564,177
1061,657,69
1062,796,57
1063,0,29
1064,799,785
1065,747,721
1066,698,720
1067,602,702
1068,638,697
1069,574,638
1070,766,430
1071,772,337
1072,611,260
1073,702,239
1074,707,222
1075,19,19
1076,127,7
1077,7,7
1078,339,0
1079,680,777
1080,586,732
1081,98,669
1082,677,650
1083,521,637
1084,0,637
1085,741,463
1086,734,234
1087,716,139
1088,723,119
1089,691,51
1090,736,700
1091,789,697
1092,735,676
1093,712,605
1094,715,576
1095,791,428
1096,644,253
1097,783,183
1098,292,142
1099,773,124
1100,754,32
1101,61,1
1102,735,726
1103,678,148
1104,785,103
1105,783,47
1106,734,753
1107,785,195
1108,668,139
1109,750,114
1110,142,76
1111,732,14
1112,177,0
1113,785,406
1114,786,5
