time	cluster	x0	y0	major	minor	Area	SumIntensity	RawIntensity	MeanIntensity	NumPuncta
25	0	2.292	0.331	0.393	0.236	0.073	0.463	514.000	6.346	9.000E-4
25	1	0.394	0.948	0.776	0.247	0.150	1.022	1135.000	6.796	0.002
25	2	1.682	1.566	1.218	0.964	0.922	9.614	10682.000	10.421	0.009
25	3	0.327	1.625	0.628	0.290	0.143	1.134	1260.000	7.925	0.004
25	4	1.769	2.256	0.416	0.262	0.085	0.607	675.000	7.105	9.000E-4
25	5	1.094	2.912	0.640	0.204	0.103	0.775	861.000	7.553	0.002
25	6	2.737	2.931	0.200	0.155	0.024	0.145	161.000	5.963	9.000E-4
26	0	2.273	0.329	0.437	0.186	0.064	0.397	441.000	6.211	9.000E-4
26	1	0.388	0.942	0.796	0.255	0.159	1.058	1176.000	6.644	0.002
26	2	1.701	1.565	1.253	0.928	0.913	9.552	10613.000	10.456	0.005
26	3	0.320	1.620	0.660	0.271	0.140	1.259	1399.000	8.968	0.002
26	4	1.779	2.269	0.341	0.235	0.063	0.392	436.000	6.229	9.000E-4
26	5	0.990	2.261	0.196	0.164	0.025	0.178	198.000	7.071	9.000E-4
26	6	1.140	2.902	0.568	0.230	0.103	0.858	953.000	8.360	9.000E-4
26	7	2.719	2.934	0.213	0.156	0.026	0.160	178.000	6.138	9.000E-4
27	0	2.597	0.055	0.225	0.127	0.022	0.152	169.000	6.760	9.000E-4
27	1	2.227	0.341	0.458	0.190	0.068	0.416	462.000	6.079	0.002
27	2	0.411	0.940	0.751	0.264	0.156	1.066	1184.000	6.844	0.002
27	3	1.680	1.567	1.196	0.946	0.888	9.210	10233.000	10.368	0.007
27	4	0.289	1.622	0.619	0.324	0.158	1.250	1389.000	7.937	0.002
27	5	1.789	2.249	0.326	0.250	0.064	0.446	495.000	6.972	9.000E-4
27	6	1.131	2.902	0.566	0.219	0.097	0.726	807.000	7.472	9.000E-4
28	0	2.592	0.058	0.166	0.131	0.017	0.111	123.000	6.474	9.000E-4
28	1	2.348	0.317	0.233	0.187	0.034	0.219	243.000	6.395	9.000E-4
28	2	2.143	0.383	0.191	0.150	0.022	0.137	152.000	6.080	0.000
28	3	0.387	0.945	0.739	0.254	0.148	0.993	1103.000	6.726	0.002
28	4	1.707	1.552	1.183	0.958	0.890	9.256	10285.000	10.399	0.007
28	5	0.310	1.632	0.676	0.273	0.145	1.174	1304.000	8.099	0.002
28	6	1.783	2.281	0.352	0.284	0.078	0.533	592.000	6.805	9.000E-4
28	7	2.793	2.623	0.171	0.114	0.015	0.105	117.000	6.882	9.000E-4
28	8	1.111	2.914	0.622	0.204	0.100	0.746	829.000	7.468	9.000E-4
29	0	2.404	0.314	0.342	0.167	0.045	0.273	303.000	6.060	0.000
29	1	0.402	0.944	0.693	0.248	0.135	0.909	1010.000	6.733	9.000E-4
29	2	1.712	1.548	1.202	0.906	0.855	8.865	9850.000	10.368	0.007
29	3	0.425	1.665	0.650	0.271	0.139	1.011	1123.000	7.292	0.002
29	4	1.827	2.265	0.310	0.274	0.067	0.506	562.000	7.595	9.000E-4
29	5	1.147	2.916	0.566	0.190	0.085	0.661	735.000	7.819	0.002
29	6	2.742	2.942	0.232	0.133	0.024	0.156	173.000	6.407	9.000E-4
30	0	2.605	0.070	0.168	0.123	0.016	0.103	114.000	6.333	0.000
30	1	2.357	0.303	0.194	0.160	0.024	0.157	174.000	6.444	9.000E-4
30	2	0.357	0.956	0.730	0.239	0.137	0.967	1074.000	7.066	0.002
30	3	1.709	1.550	1.169	0.942	0.865	8.642	9602.000	9.992	0.007
30	4	0.358	1.639	0.484	0.291	0.111	0.851	946.000	7.691	9.000E-4
30	5	1.822	2.265	0.389	0.230	0.070	0.474	527.000	6.756	9.000E-4
30	6	1.020	2.250	0.197	0.128	0.020	0.137	152.000	6.909	9.000E-4
30	7	1.143	2.921	0.612	0.185	0.089	0.758	842.000	8.505	9.000E-4
30	8	2.735	2.935	0.235	0.132	0.024	0.155	172.000	6.370	9.000E-4
31	0	2.415	0.349	0.229	0.145	0.026	0.167	186.000	6.414	9.000E-4
31	1	2.118	0.388	0.166	0.131	0.017	0.108	120.000	6.316	9.000E-4
31	2	0.406	0.949	0.771	0.217	0.131	0.886	985.000	6.747	0.003
31	3	1.712	1.558	1.165	0.927	0.849	8.410	9344.000	9.909	0.004
31	4	0.356	1.624	0.439	0.287	0.099	0.792	880.000	8.000	9.000E-4
31	5	1.819	2.293	0.363	0.240	0.068	0.414	460.000	6.053	9.000E-4
31	6	0.987	2.250	0.190	0.181	0.027	0.179	199.000	6.633	9.000E-4
31	7	1.158	2.903	0.502	0.226	0.089	0.711	790.000	7.980	0.002
31	8	2.747	2.913	0.201	0.165	0.026	0.159	177.000	6.103	9.000E-4
